item,itemLabel,startDate,endDate
Q2827624,Ahmed Mestiri,1956-04-15,1958-12-30
Q3144591,Hédi Khefacha,1958-12-30,1966-09-05
Q563204,Mongi Slim,1966-09-05,1969-09-06
Q12239765,Mohamed Snoussi,1969-09-06,1970-06-12
Q586623,Habib Bourguiba Jr.,1970-06-12,1970-11-06
Q3318545,Mohamed Fitouri,1970-11-06,1971-10-29
Q12240251,Mohamed Bellalouna,1971-10-29,1973-06-05
Q12220165,Slaheddine Baly,1973-06-05,1980-04-25
Q12246948,Mohamed Chaker,1980-04-25,1984-10-29
Q16027761,Ridha Ben Ali,1984-10-29,1986-02-12
Q12240636,Mohamed Salah Ayari,1986-02-12,1988-04-12
Q12220165,Slaheddine Baly,1988-04-12,1988-07-27
Q1381809,Hamed Karoui,1988-07-27,1989-09-27
Q15055101,Mustapha Bouaziz,1989-09-27,1990-03-03
Q2972023,Chédli Neffati,1990-03-03,1991-02-20
Q2821241,Abderrahim Zouari,1991-02-20,1992-06-09
Q3461169,Sadok Chaâbane,1992-06-09,1997-01-22
Q2820931,Abdallah Kallel,1997-01-22,1999-11-17
Q2929705,Béchir Tekkari,1999-11-17,2010-01-15
Q3220052,Lazhar Bououni,2010-01-15,2011-01-17
Q517946,Lazhar Karoui Chebbi,2011-01-17,2011-12-24
Q668526,Noureddine Bhiri,2011-12-24,2013-03-13
Q12352837,Nadhir Ben Ammou,2013-03-13,2014-01-29
Q16027763,Hafedh Ben Salah,2014-01-29,2015-02-06
Q3318781,Mohamed Salah Ben Aïssa,2015-02-06,2015-10-20
Q19248970,Farhat Horchani,2015-10-20,2016-01-12
Q24690887,Omar Mansour,2016-01-12,2016-08-27
Q16639035,Ghazi Jeribi,2016-08-27,2018-11-14
Q18398343,Mohamed Karim El Jamoussi,2018-11-14,2020-02-27
Q85822499,Thouraya Jeribi Khémiri,2020-02-27,2020-09-02
Q99574115,Mohamed Bousseta,2020-09-02,2021-02-15
Q104828106,Hasna Ben Slimane,2021-02-15,2021-07-26
Q98828570,Leïla Jaffel,2021-10-11,
