@@,itemlabel,item,startdate,enddate
+++,Mustapha Filali,Q3328946,1956-04-15,1957-10-01
+++,Mahmoud Khiari,,1957-10-01,1958-12-30
+++,Abdesselem Knani,Q2821308,1958-12-30,1962-04-03
+++,Mohamed Jeddi,Q16262805,1964-11-12,1967-07-26
+++,Lassaad Ben Osman,Q22928978,1967-07-26,1969-09-08
+++,Abdallah Farhat,Q2820925,1969-09-08,1971-10-29
+++,Dhaoui Hannablia,Q16262803,1971-10-29,1974-09-25
+++,Hassen Belkhodja,Q3128202,1974-09-25,1979-11-07
+++,Lassaad Ben Osman,Q22928978,1979-11-07,1988-07-27
+++,Slaheddine Ben Mbarek,Q17425841,1988-07-27,1989-04-11
+++,Nouri Zorgati,Q16666837,1989-04-11,1991-02-20
+++,Mouldi Zouaoui,,1991-02-20,1993-06-15
+++,Mohamed Ben Rejeb,Q16664915,1993-06-15,1997-01-22
+++,Mabrouk Bahri,Q17580016,1997-01-22,1997-10-09
+++,Sadok Rabah,Q19629356,1997-10-09,2002-09-05
+++,Habib Haddad,,2002-09-05,2008-08-29
+++,Abdessalem Mansour,Q2821297,2008-08-29,2011-01-17
+++,Habib M'barek,Q3125307,2011-01-17,2011-01-27
+++,Mokhtar Jallali,Q3319366,2011-01-27,2011-12-24
+++,Mohamed Ben Salem,Q3318419,2011-12-24,2014-01-29
+++,Lassaad Lachaal,Q16855252,2014-01-29,2015-02-06
+++,Saâd Seddik,Q25391292,2015-02-06,2016-08-27
+++,Oussama Kheriji,Q91649459,2020-02-27,2020-09-02
+++,Akissa Bahri,Q30224903,2020-09-02,2021-02-15
+++,Mohamed Fadhel Kraiem,Q91669922,2021-02-15,2021-08-02
+++,Mahmoud Elyes Hamza,Q108892344,2021-10-11,
