item,itemLabel,startDate,endDate
Q3328946,Mustapha Filali,1956-04-15,1957-10-01
,Mahmoud Khiari,1957-10-01,1958-12-30
Q2821308,Abdesselem Knani,1958-12-30,1962-04-03
Q3331012,Abdelmajid Chaker,1962-04-03,1964-11-12
Q16262805,Mohamed Jeddi,1964-11-12,1967-07-26
Q22928978,Lassaad Ben Osman,1967-07-26,1969-09-08
Q2820925,Abdallah Farhat,1969-09-08,1971-10-29
Q16262803,Dhaoui Hannablia,1971-10-29,1974-09-25
Q3128202,Hassen Belkhodja,1974-09-25,1979-11-07
Q22928978,Lassaad Ben Osman,1979-11-07,1988-07-27
Q17425841,Slaheddine Ben Mbarek,1988-07-27,1989-04-11
Q16666837,Nouri Zorgati,1989-04-11,1991-02-20
,Mouldi Zouaoui,1991-02-20,1993-06-15
Q16664915,Mohamed Ben Rejeb,1993-06-15,1997-01-22
Q17580016,Mabrouk Bahri,1997-01-22,1997-10-09
Q19629356,Sadok Rabah,1997-10-09,2002-09-05
,Habib Haddad,2002-09-05,2008-08-29
Q2821297,Abdessalem Mansour,2008-08-29,2011-01-17
Q3125307,Habib M'barek,2011-01-17,2011-01-27
Q3319366,Mokhtar Jallali,2011-01-27,2011-12-24
Q3318419,Mohamed Ben Salem,2011-12-24,2014-01-29
Q16855252,Lassaad Lachaal,2014-01-29,2015-02-06
Q25391292,Saâd Seddik,2015-02-06,2016-08-27
Q3470847,Samir Taïeb,2016-08-27,2020-02-27
Q91649459,Oussama Kheriji,2020-02-27,2020-09-02
Q30224903,Akissa Bahri,2020-09-02,2021-02-15
Q91669922,Mohamed Fadhel Kraiem,2021-02-15,2021-08-02
Q108892344,Mahmoud Elyes Hamza,2021-10-11,
