@@,itemlabel,item,startdate,enddate
+++,Ezzeddine Abassi,Q16325262,1955-09-07,1957-07-29
+++,Ahmed Noureddine,Q2827627,1958-12-30,1969-11-07
+++,Tijani Chelli,,1969-11-07,1970-11-06
+++,Lassaad Ben Osman,Q22928978,1970-11-06,1971-10-29
+++,Mohamed Sayah,Q12239816,1971-10-29,1973-06-05
+++,Hédi Khefacha,Q3144591,1973-06-05,1974-01-14
+++,Abdallah Farhat,Q2820925,1974-01-14,1974-09-25
+++,Lassaad Ben Osman,Q22928978,1974-09-25,1979-11-07
+++,Mohamed Ali Souissi,,1979-11-07,1980-04-15
+++,Mohamed Sayah,Q12239816,1980-04-15,1983-11-25
+++,Sadok Ben Jemâa,Q3461164,1983-11-25,1984-08-25
+++,Mohamed Sayah,Q12239816,1984-08-25,1987-05-16
+++,Mansour Skhiri,Q3286574,1987-05-16,1987-11-07
+++,Sadok Ben Jemâa,Q3461164,1987-11-07,1988-07-07
+++,Moncef Mouelhi,,1988-07-07,1989-04-11
+++,Ahmed Friaâ,Q2827554,1989-04-11,1992-06-09
+++,Mohamed Charfeddine Gallouz,,1992-06-09,1993-06-15
+++,Ali Chaouch,Q2836180,1993-06-15,1997-10-09
+++,Slaheddine Belaïd,Q19060293,1997-10-09,2004-11-10
+++,Samira Khayach Belhaj,Q19060337,2004-11-10,2008-08-29
+++,Slaheddine Malouche,Q3486513,2008-08-29,2011-01-27
+++,Yassine Brahim,Q3571955,2011-01-27,2011-07-01
+++,Mohamed Ridha Farès,Q3318774,2011-07-01,2011-12-24
+++,Mohamed Salmane,Q3318800,2011-12-24,2014-01-29
+++,Hédi Larbi,Q16855255,2014-01-29,2015-02-06
+++,Mohamed Salah Arfaoui,Q23017371,2015-02-06,2018-11-14
+++,Noureddine Selmi,Q61598250,2018-11-14,2020-02-27
+++,Moncef Sliti,Q86734094,2020-02-27,2020-07-15
+++,Ghazi Chaouachi,Q21511555,2020-07-15,2020-09-02
+++,Kamel Doukh,Q109041047,2020-09-02,2021-10-11
+++,Sarra Zaâfrani,Q108892374,2021-10-11,
