item,itemLabel,startDate,endDate
Q15055101,Mustapha Bouaziz,1990-03-03,1999-04-22
Q3431743,Ridha Grira,1999-04-22,2010-01-14
Q12214730,Zouheir M'dhaffer,2010-01-14,2010-10-12
Q3079840,Foued Daghfous,2010-10-12,2011-01-27
Q2827482,Ahmed Adhoum,2011-01-27,2011-12-24
Q3469772,Salim Ben Hamidane,2011-12-24,2014-01-29
Q24951001,Hatem El Euchi,2015-02-06,2016-08-27
Q30729047,Mabrouk Korchid,2017-09-06,2018-11-14
Q62601798,Hédi Mekni,2018-11-14,2019-11-08
Q30728498,Radhouane Ayara,2019-11-08,2020-02-27
Q21511555,Ghazi Chaouachi,2020-02-27,2020-09-02
Q98828570,Leïla Jaffel,2020-09-02,2021-02-15
Q2827482,Ahmed Adhoum,2021-02-15,2021-10-11
Q109544397,Mohamed Rekik,2021-10-11,
