@@,itemlabel,item,startdate,enddate
+++,Mustapha Bouaziz,Q15055101,1990-03-03,1999-04-22
+++,Ridha Grira,Q3431743,1999-04-22,2010-01-14
+++,Zouheir M'dhaffer,Q12214730,2010-01-14,2010-10-12
+++,Foued Daghfous,Q3079840,2010-10-12,2011-01-27
+++,Ahmed Adhoum,Q2827482,2011-01-27,2011-12-24
+++,Salim Ben Hamidane,Q3469772,2011-12-24,2014-01-29
+++,Hatem El Euchi,Q24951001,2015-02-06,2016-08-27
+++,Mabrouk Korchid,Q30729047,2017-09-06,2018-11-14
+++,Hédi Mekni,Q62601798,2018-11-14,2019-11-08
+++,Radhouane Ayara,Q30728498,2019-11-08,2020-02-27
+++,Ghazi Chaouachi,Q21511555,2020-02-27,2020-09-02
+++,Leïla Jaffel,Q98828570,2020-09-02,2021-02-15
+++,Ahmed Adhoum,Q2827482,2021-02-15,2021-10-11
+++,Mohamed Rekik,Q109544397,2021-10-11,
