@@,itemlabel,item,startdate,enddate
+++,Jallouli Farès,Q3160736,1955-09-17,1956-04-15
+++,Lamine Chebbi,Q3216753,1956-04-15,1958-05-06
+++,Mahmoud Messadi,Q496165,1958-05-06,1968-10-24
+++,Ahmed Ben Salah,Q2827512,1968-10-24,1969-11-07
+++,Ahmed Noureddine,Q2827627,1969-11-07,1969-12-27
+++,Mohamed Mzali,Q377921,1969-12-27,1970-06-12
+++,Chedly Ayari,Q2961945,1970-06-12,1971-10-29
+++,Mohamed Mzali,Q377921,1971-10-29,1973-03-17
+++,Driss Guiga,Q3039490,1973-03-17,1976-05-31
+++,Mohamed Mzali,Q377921,1976-05-31,1980-04-25
+++,Mohamed Fraj Chedly,Q16588807,1980-04-25,1986-05-05
+++,Abdelaziz Ben Dhia,Q282026,1986-05-05,1986-07-30
+++,Amor Chadli,Q3331032,1986-07-30,1987-05-16
+++,Mohamed Sayah,Q12239816,1987-05-16,1987-11-07
+++,Tijani Chelli,,1987-11-07,1988-04-11
+++,Mohamed Hédi Khélil,,1988-04-11,1989-04-11
+++,Mohamed Charfi,Q3318475,1989-04-11,1994-06-01
+++,Ahmed Friaâ,Q2827554,1994-06-01,1994-11-16
+++,Hatem Ben Othman,Q29816892,1994-11-14,1997-10-09
+++,Ridha Ferchiou,Q19060301,1997-10-09,1999-02-15
+++,Abderrahim Zouari,Q2821241,1999-02-15,1999-11-17
+++,Ahmed Iyadh Ouederni,Q2827587,1999-11-17,2001-01-23
+++,Moncer Rouissi,Q3320454,2001-01-23,2003-08-25
+++,Mohamed Raouf Najar,Q16027809,2003-08-25,2005-08-17
+++,Sadok Korbi,Q19956346,2005-08-17,2008-08-29
+++,Hatem Ben Salem,Q3128291,2008-08-29,2011-01-17
+++,Taïeb Baccouche,Q2388455,2011-01-17,2011-12-24
+++,Abdellatif Abid,Q2821146,2011-12-24,2013-03-13
+++,Salem Labiadh,Q11775942,2013-03-13,2014-01-29
+++,Fathi Jarray,Q16855223,2014-01-29,2015-02-06
+++,Néji Jalloul,Q19956225,2015-02-06,2017-04-30
+++,Slim Khalbous,Q28654181,2017-04-30,2017-09-06
+++,Hatem Ben Salem,Q3128291,2017-09-06,2020-02-27
+++,Mohamed Hamdi,Q12239668,2020-02-27,2020-09-02
