position,title
Q14911897,President
Q1064106,Prime Minister
Q109268931,Minister of Agriculture
Q110471534,Minister of Commerce
Q109268821,Minister of Communication
Q50809449,Minister of Culture
Q110463674,Minister of Defence
Q110475816,Minister of Development and International Cooperation
Q110471462,Minister of Economy and Planning
Q110463824,Minister of Education
Q110475560,Minister of Employment
Q55110158,Minister of Energy and Mines
Q110475594,Minister of the Environment
Q110475741,Minister of Equipment
Q20716218,Minister of Finance
Q27235647,Minister of Foreign Affairs
Q62021715,Minister of Heath
Q23817727,Minister of Higher Education
Q81744907,Minister of Industry
Q41791952,Minister of Interior
Q20716252,Minister of Justice
Q42770370,Minister of Local Affairs
Q110475808,Minister of Regional Development
Q53544902,Minister of Religious Affairs
Q110475404,Minister of Social Affairs
Q110475732,Minister of State Domains
Q110475754,Minister of Technology and Communication
Q108730486,Minister of Tourism
Q110471598,Minister of Transport
Q48598683,Minister of Women affairs
Q110475510,Minister of Youth and Sports
Q3398869,Government Spokesperson
Q3409183,President of the Chamber of Deputies
Q3278454,Mayor of Tunis
