ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q526548,Government of Tunisia,1956-03-20,11,,,,,,,,,,,,,,
,Q13580982,Laarayedh Cabinet,2013-03-14,11,,,2014-01-29,11,,,Q283333,Jebali Cabinet,Q15675981,Jomaa Cabinet,Q283333,Jebali Cabinet,Q15675981,Jomaa Cabinet
,Q15675981,Jomaa Cabinet,2014-01-29,11,,,2015-02-06,11,2015-02-06,11,Q13580982,Laarayedh Cabinet,Q18907938,Essid Cabinet,Q13580982,Laarayedh Cabinet,Q18907938,Essid Cabinet
,Q18907938,Essid Cabinet,2015-02-06,11,,,2016-08-27,11,,,Q15675981,Jomaa Cabinet,Q26432711,Chahed Cabinet,Q15675981,Jomaa Cabinet,Q26432711,Chahed Cabinet
,Q26432711,Chahed Cabinet,2016-08-27,11,,,2020-02-27,11,,,Q18907938,Essid Cabinet,,,Q18907938,Essid Cabinet,Q86514032,Fakhfakh Cabinet
,Q108866852,Bouden Cabinet,2021-10-11,11,,,,,,,,,,,Q98831546,Mechichi Cabinet,,
