item,itemLabel,startDate,endDate
Q282026,Abdelaziz Ben Dhia,1978-09-20,1986-05-06
Q3331032,Amor Chadli,1986-05-06,1987-05-16
Q12239816,Mohamed Sayah,1987-05-16,1987-11-07
,Tijani Chelli,1987-11-07,1988-04-12
,Abdessalem Mseddi,1988-04-12,1989-04-11
Q3318475,Mohamed Charfi,1989-04-11,1994-06-01
Q2827554,Ahmed Friaâ,1994-06-01,1994-11-16
Q3012366,Dali Jazi,1994-11-16,1999-11-17
Q3461169,Sadok Chaâbane,1999-11-17,2004-11-10
Q3220052,Lazhar Bououni,2004-11-10,2010-01-15
Q2929705,Béchir Tekkari,2010-01-15,2011-01-17
Q2827529,Ahmed Brahim,2011-01-17,2011-03-07
Q3423310,Refâat Chaâbouni,2011-03-07,2011-12-24
Q3320435,Moncef Ben Salem,2011-12-24,2014-01-29
Q16679067,Taoufik Jelassi,2014-01-29,2015-02-06
Q20991574,Chiheb Bouden,2015-02-06,2016-08-27
Q28654181,Slim Khalbous,2016-08-27,2019-12-14
Q3128291,Hatem Ben Salem,2019-12-14,2020-02-27
Q92316785,Slim Choura,2020-02-27,2020-07-15
Q3257623,Lobna Jribi,2020-07-15,2020-09-02
Q98828537,Olfa Benouda,2020-09-02,2021-10-11
Q108892377,Moncef Boukthir,2021-10-11,
