@@,itemlabel,item,startdate,enddate
+++,Amor Rourou,Q48757077,1979-11-07,1980-04-25
->,Salah Ben M'barka,Q54875084->NULL,1986-04-28,1987-11-07
+++,Sadok Rabah,Q19629356,1988-07-27,1989-04-11
+++,Mongi Marzouk,Q3320655,2016-01-12,2016-08-27
+++,Hela Cheikhrouhou,Q22282799,2016-08-27,2017-09-12
+++,Khaled Kaddour,Q51460814,2017-09-12,2018-08-31
+++,Mongi Marzouk,Q3320655,2020-02-27,2020-09-02
+++,Salwa Sghayer,Q99542892,2020-09-02,2021-02-15
+++,Mohamed Bousaïd,Q109045290,2021-02-15,2021-10-11
+++,Neila Gonji,Q108892363,2021-10-11,
