item,itemLabel,startDate,endDate,psid
Q108892375,Nasreddine Nsibi,2021-10-11,,Q108892375-2FFE70A1-F78A-43DE-87E4-C850B3B11D9C
Q16267511,Faïza Kefi,2001-01-25,2001-10-08,Q16267511-EDC00CEF-767B-4395-B72F-4C6A732494AB
Q16666126,Naoufel Jammali,2013-03-13,2014-01-29,Q16666126-4CFDCBEA-0077-4C08-A518-274091D938C0
Q16855250,Hafedh Laamouri,2014-01-29,2015-02-06,Q16855250-2380BFF3-9FF8-481E-A8F7-CFD0F8A13DB9
Q19060346,Chedly Laroussi,2002-09-05,2008-08-29,Q19060346-6F949C18-4561-4ADA-857D-F2A0B3FA8770
Q19544932,Zied Ladhari,2015-02-06,2016-08-27,Q19544932-1A9B2048-D0FA-4C27-B9B0-5C44E97831F3
Q25453450,Sayida Ounissi,2018-11-14,2019-11-08,Q25453450-6C1DA07D-1FFD-455D-9943-11CFDF592442
Q27666209,Imed Hammami,2016-08-27,2017-09-06,Q27666209-AB35B645-13E9-4E2A-B526-19544000047C
Q2821212,Abdelwahab Maatar,2011-12-24,2013-03-13,Q2821212-277E7B2E-839B-4C3C-9CE5-2B7B229148B5
Q3141381,Houssine Dimassi,2011-01-17,2011-01-18,Q3141381-413D999C-8CE2-48F0-A620-B06FAB5EBD31
Q3318311,Mohamed Agrebi,2010-01-14,2011-01-17,Q3318311-AC0948CC-6FCB-4B46-A3CD-907864E0644C
Q3320454,Moncer Rouissi,1992-06-09,2001-01-25,Q3320454-CC8D64BE-FAF3-40C4-B6AD-66B1FD7E3C89
Q3347261,Néziha Zarrouk,2001-10-08,2002-09-05,Q3347261-D04505BD-E65F-4251-AAF9-5039E5F6E662
Q3474776,Saïd Aïdi,2011-01-27,2011-12-24,Q3474776-76D545C2-BC83-44E1-9BF1-AC2BCDF446D3
Q3486689,Slim Tlatli,2008-08-29,2010-01-14,Q3486689-71903718-D16C-4595-95E3-5BA0CAD7C364
Q54875067,Faouzi Abderrahmane,2017-09-06,2018-11-14,Q54875067-AA9C90B6-8D61-4948-9D3E-6BBB26CED082
Q54875068,Taoufik Cheikhrouhou,1991-02-20,1992-06-09,Q54875068-5E82F21A-463A-477F-9591-4C6934039FEE
Q55999324,Taoufik Rajhi,2019-11-08,2020-02-27,Q55999324-27A862E6-4D62-45F3-B922-D25A3C57E466
Q96473313,Fethi Belhaj,2020-02-27,2020-09-02,Q96473313-4682718E-F4F1-4EE8-B9E1-74F2F58D82DC
