@@,itemlabel,item,startdate,enddate
+++,Habib Bourguiba,Q643348,1956-04-14,1957-07-29
+++,Bahi Ladgham,Q800238,1957-07-29,1966-06-24
+++,Ahmed Mestiri,Q2827624,1966-06-24,1968-01-29
+++,Bahi Ladgham,Q800238,1968-01-29,1968-04-12
+++,Mohamed Mzali,Q377921,1968-04-12,1969-11-07
+++,Béji Caïd Essebsi,Q313539,1969-11-07,1970-06-12
+++,Hassib Ben Ammar,Q3128235,1970-06-12,1971-10-29
+++,Béchir M'hedhbi,Q2929686,1971-10-29,1972-08-09
+++,Abdallah Farhat,Q2820925,1972-08-09,1974-01-14
+++,Hédi Khefacha,Q3144591,1974-01-14,1976-05-25
+++,Abdallah Farhat,Q2820925,1976-05-31,1979-09-12
+++,Slaheddine Baly,Q12220165,1980-04-24,1988-04-11
+++,Abdallah Kallel,Q2820931,1988-04-11,1991-02-20
+++,Habib Boularès,Q507856,1991-02-20,1991-10-10
+++,Abdelaziz Ben Dhia,Q282026,1991-10-10,1996-06-13
+++,Abdallah Kallel,Q2820931,1996-06-13,1997-01-20
+++,Habib Ben Yahia,Q3125299,1997-01-22,1999-11-17
+++,Mohamed Jegham,Q3318622,1999-11-17,2001-01-23
+++,Dali Jazi,Q3012366,2001-01-23,2004-11-10
+++,Hédi M'henni,Q2912277,2004-11-10,2005-08-17
+++,Kamel Morjane,Q1043040,2005-08-17,2010-01-14
+++,Ridha Grira,Q3431743,2010-01-14,2011-01-27
+++,Abdelkrim Zbidi,Q2821127,2011-01-27,2013-03-13
+++,Rachid Sabbagh,Q9344006,2013-03-13,2014-01-29
+++,Ghazi Jeribi,Q16639035,2014-01-29,2015-02-06
+++,Farhat Horchani,Q19248970,2015-02-06,2017-09-06
+++,Abdelkrim Zbidi,Q2821127,2017-09-06,2019-10-29
+++,Mohamed Karim El Jamoussi,Q18398343,2019-10-29,2020-02-27
+++,Imed Hazgui,Q89844681,2020-02-27,2020-09-02
+++,Brahim Bartagi,Q98828346,2020-09-02,2021-07-26
+++,Imed Memmich,Q108883556,2021-10-11,
