@@,itemlabel,item,startdate,enddate
->,Hédi Nouira,Q1642894,1955-09-07->1956-04-15,1958-09-30
->,Hédi Khefacha,Q3144591,1960-10-04,1961-01-03->1961-01-30
->,Abderrazak Rassâa->Abderrazak Rassaa,Q16117997,1969-09-08,1971-10-29
->,Salah Ben M'barka,Q54875084->NULL,1983-06-18,1986-04-28
->,Mohamed Ghannouchi,Q431515,1991-02-20->1989-04-11,1992-06-09
->,Mohamed Rachid Kechiche,Q99528084->NULL,2004-03-24,2010-01-14->2010-01-15
->,Ridha Chalghoum,Q3431740,2010-01-14->2010-01-15,2011-01-27
->,Fadhel Abdelkefi,Q27665914,2017-04-30,2017-09-12->2017-09-06
->,Ridha Chalghoum,Q3431740,2017-09-12->2017-09-06,2020-02-27
+++,Sihem Boughdiri,Q108159069,2021-08-02,
