@@,itemlabel,item,startdate,enddate
+++,Habib Boularès,Q507856,1970-06-12,1971-06-17
+++,Mahmoud Messadi,Q496165,1973-11-30,1976-12-09
->,Chedli Klibi,Q2268624,1976-12-08->1976-12-09,1978-09-20
+++,Mohamed Yalaoui,Q20643083,1978-09-20,1979-11-07
+++,Fouad Mebazaa,Q152369,1979-11-07,1981-01-02
+++,Béchir Ben Slama,Q12184481,1981-01-02,1986-05-12
+++,Abdelaziz Ben Dhia,Q282026,1987-09-29,1987-10-02
+++,Abdelmalek Laârif,Q55196894,1988-04-12,1988-07-27
+++,Habib Boularès,Q507856,1988-07-27,1990-03-03
+++,Ahmed Khaled,,1990-03-03,1991-02-20
+++,Moncer Rouissi,Q3320454,1991-02-20,1991-10-11
+++,Mongi Bousnina,Q3320646,1991-10-11,1995-01-25
+++,Abdelbaki Hermassi,Q2821010,1996-08-05,2004-11-10
+++,Mohamed El Aziz Ben Achour,Q3318509,2004-11-10,2008-08-29
->,Abderraouf El Basti,Q2821273,2008-08-29,2011-01-14->2011-01-17
+++,Mehdi Mabrouk,Q3304511,2011-12-24,2014-01-29
+++,Mourad Sakli,Q16889653,2014-01-29,2015-02-06
+++,Latifa Lakhdar,Q19956395,2015-02-06,2016-01-12
+++,Sonia M'Barek,Q3490439,2016-01-12,2016-08-27
+++,Mohamed Zine El Abidine,Q28502176,2016-08-27,2020-02-27
+++,Walid Zidi,Q100261455,2020-09-02,2020-10-05
+++,Habib Ammar,Q104821906,2020-10-05,2021-10-11
+++,Hayet Guettat,Q108892387,2021-10-11,
