item,itemLabel,startDate,endDate,psid
Q108892351,Rabie Majidi,2021-10-11,,Q108892351-8816A513-4870-43F0-A906-9C0268F30112
Q16263000,Brahim Khouaja,1983-11-25,1985-10-23,Q16263000-3D3319F3-2EF7-429C-9631-E4C20B4DED12
Q16325262,Ezzeddine Abassi,1958-12-30,1961-10-07,Q16325262-3432AC37-E20F-4CF4-9D4F-6B8E269E11FC
Q16855080,Chiheb Ben Ahmed,2014-01-29,2015-02-06,Q16855080-128D7AA4-9ED6-4CBF-844B-353B7C1FFD41
Q19060284,Houcine Chouk,1997-10-09,2002-09-05,Q19060284-BD24736D-7240-464B-9187-395910C31E08
Q19629356,Sadok Rabah,1996-06-13,1997-10-09,Q19629356-52156FB7-EB44-4775-A856-5146A008A1CD
Q19629356,Sadok Rabah,2002-09-05,2004-11-10,Q19629356-87D6433A-72C6-4B06-ACFD-356E90079F09
Q19848008,Moez Chakchouk,2020-09-02,2021-10-11,Q19848008-9F8109DB-F6F3-4EC8-8A32-E5C0E16616B5
Q20417790,René Trabelsi,2019-11-08,2020-02-27,Q20417790-07FF2C3F-097A-4C44-B856-037160D6427F
Q20423358,Mahmoud Ben Romdhane,2015-02-06,2016-01-12,Q20423358-839BB622-4FB2-46A9-A900-F5EDF5E0C836
Q22211169,Anis Ghedira,2016-01-12,2017-09-06,Q22211169-A4781F68-8382-44D4-A560-C54ED1533931
Q22928978,Lassaad Ben Osman,1973-11-30,1974-09-25,Q22928978-16A3B989-D9C4-4706-93D3-6859CDBB965E
Q26834002,Anouar Maârouf,2020-02-27,2020-07-15,Q26834002-E18E93FE-470F-4423-A5BD-9BCBE895C075
Q2820925,Abdallah Farhat,1974-09-25,1976-05-31,Q2820925-5ACF205C-9855-475B-8ADD-8E330261761E
Q2821119,Abdelkrim Harouni,2011-12-24,2014-01-29,Q2821119-044FC5A5-D1A9-448F-82FE-0BC007412F3D
Q2821241,Abderrahim Zouari,2004-11-10,2011-01-14,Q2821241-37ACD499-9BD1-4B60-8955-2BF4DD4E4D0A
Q2827664,Ahmed Smaoui,1988-07-27,1991-02-20,Q2827664-1941BFF2-FED3-4901-853E-11AB7B59641C
Q30728498,Radhouane Ayara,2017-09-06,2018-11-14,Q30728498-0B3B7923-AC45-424A-A2C7-EADAFC0EC207
Q30729169,Hichem Ben Ahmed,2018-11-14,2019-11-08,Q30729169-5A509DC1-171A-482C-A7F3-24CDD7181C30
Q3128202,Hassen Belkhodja,1979-11-07,1980-04-15,Q3128202-41FDAA64-CA6F-40FA-8E36-12DB002B86A6
Q3286574,Mansour Skhiri,1987-03-30,1987-11-07,Q3286574-54EACB1E-2298-46B3-B21E-95F42F3BCEFA
Q3320544,Mondher Zenaidi,1994-06-01,1996-06-13,Q3320544-E5B19DC6-3358-47E7-A073-06F18842C056
Q3461164,Sadok Ben Jemâa,1980-04-15,1983-11-25,Q3461164-88DBA250-DD58-4C67-B8B8-C8C26D3FAFBA
Q3469690,Salem Miladi,2011-07-01,2011-12-24,Q3469690-A0DFAEDD-A82D-4F4B-A432-AE1DAD82E7BF
Q3486513,Slaheddine Malouche,2011-01-14,2011-01-27,Q3486513-6D589D10-9E1A-4ACF-B0B4-8278D92C043D
Q3571955,Yassine Brahim,2011-01-27,2011-07-01,Q3571955-9AB7ACCF-982A-47F5-82DD-3AA13ADAD105
Q91669922,Mohamed Fadhel Kraiem,2020-07-15,2020-09-02,Q91669922-2C002E54-679F-4790-86A6-3A569A8E8DD2
