@@,itemlabel,item,startdate,enddate
+++,Ezzeddine Abassi,Q16325262,1958-12-30,1961-10-07
+++,Lassaad Ben Osman,Q22928978,1973-11-30,1974-09-25
+++,Abdallah Farhat,Q2820925,1974-09-25,1976-05-31
+++,Abdelhamid Sassi,,1976-05-31,1979-11-07
+++,Hassen Belkhodja,Q3128202,1979-11-07,1980-04-15
+++,Sadok Ben Jemâa,Q3461164,1980-04-15,1983-11-25
+++,Brahim Khouaja,Q16263000,1983-11-25,1985-10-23
+++,Mohamed Kraïem,,1985-10-23,1987-03-30
+++,Mansour Skhiri,Q3286574,1987-03-30,1987-11-07
+++,Abderrazak Kéfi,,1987-11-07,1988-07-27
+++,Ahmed Smaoui,Q2827664,1988-07-27,1991-02-20
+++,Faouzi Belkahia,,1991-02-20,1992-06-09
+++,Tahar Hadj Ali,,1992-06-09,1994-06-01
+++,Mondher Zenaidi,Q3320544,1994-06-01,1996-06-13
+++,Sadok Rabah,Q19629356,1996-06-13,1997-10-09
+++,Houcine Chouk,Q19060284,1997-10-09,2002-09-05
+++,Sadok Rabah,Q19629356,2002-09-05,2004-11-10
+++,Abderrahim Zouari,Q2821241,2004-11-10,2011-01-14
+++,Slaheddine Malouche,Q3486513,2011-01-14,2011-01-27
+++,Yassine Brahim,Q3571955,2011-01-27,2011-07-01
+++,Salem Miladi,Q3469690,2011-07-01,2011-12-24
+++,Abdelkrim Harouni,Q2821119,2011-12-24,2014-01-29
+++,Chiheb Ben Ahmed,Q16855080,2014-01-29,2015-02-06
+++,Mahmoud Ben Romdhane,Q20423358,2015-02-06,2016-01-12
+++,Anis Ghedira,Q22211169,2016-01-12,2017-09-06
+++,Radhouane Ayara,Q30728498,2017-09-06,2018-11-14
+++,Hichem Ben Ahmed,Q30729169,2018-11-14,2019-11-08
+++,René Trabelsi,Q20417790,2019-11-08,2020-02-27
+++,Anouar Maârouf,Q26834002,2020-02-27,2020-07-15
+++,Mohamed Fadhel Kraiem,Q91669922,2020-07-15,2020-09-02
+++,Moez Chakchouk,Q19848008,2020-09-02,2021-10-11
+++,Rabie Majidi,Q108892351,2021-10-11,
