@@,itemlabel,item,startdate,enddate
+++,Sadok Rabah,Q19629356,2002-09-05,2004-11-10
+++,Montasser Ouaili,,2004-11-10,2007-09-03
+++,El Hadj Gley,Q16268984,2007-09-03,2010-01-14
+++,Mohamed Naceur Ammar,Q3318731,2010-01-14,2011-01-27
+++,Mongi Marzouk,Q3320655,2011-12-24,2014-01-29
+++,Taoufik Jelassi,Q16679067,2014-01-29,2015-02-06
+++,Noomane Fehri,Q19955807,2015-02-06,2016-08-27
+++,Anouar Maârouf,Q26834002,2016-08-27,2020-02-27
+++,Mohamed Fadhel Kraiem,Q91669922,2020-02-27,2021-08-02
+++,Nizar Ben Néji,Q108163613,2021-08-02,
