item,itemLabel,startDate,endDate
Q3470845,Samir Lâabidi,2010-12-29,2011-01-17
Q2388455,Taïeb Baccouche,2011-01-17,2011-12-24
Q3470837,Samir Dilou,2011-12-24,2014-01-29
Q16666543,Nidhal Ouerfelli,2014-03-05,2015-02-06
Q28465669,Ahmed Zarrouk,2015-02-06,2016-01-06
Q27758476,Khaled Chouket,2016-01-06,2018-11-05
Q10591389,Iyed Dahmani,2018-11-05,2019-11-07
Q89996191,Asma Shiri,2020-04-07,2020-09-02
Q104828106,Hasna Ben Slimane,2021-03-08,2021-07-26
Q110014103,Amel Adouani,2021-11-08,2021-11-09
Q108892375,Nasreddine Nsibi,2021-11-15,
