@@,itemlabel,item,startdate,enddate
+++,Samir Lâabidi,Q3470845,2010-12-29,2011-01-17
+++,Taïeb Baccouche,Q2388455,2011-01-17,2011-12-24
+++,Samir Dilou,Q3470837,2011-12-24,2014-01-29
+++,Nidhal Ouerfelli,Q16666543,2014-03-05,2015-02-06
+++,Ahmed Zarrouk,Q28465669,2015-02-06,2016-01-06
+++,Khaled Chouket,Q27758476,2016-01-06,2018-11-05
+++,Iyed Dahmani,Q10591389,2018-11-05,2019-11-07
+++,Asma Shiri,Q89996191,2020-04-07,2020-09-02
+++,Hasna Ben Slimane,Q104828106,2021-03-08,2021-07-26
+++,Amel Adouani,Q110014103,2021-11-08,2021-11-09
+++,Nasreddine Nsibi,Q108892375,2021-11-15,
